,ANGL.TA
2022-12-20,"3,323.00"
2022-12-19,"3,320.00"
2022-12-18,"3,252.00"
2022-12-15,"3,334.00"
2022-12-14,"3,368.00"
2022-12-13,"3,470.00"
2022-12-12,"3,392.00"
2022-12-11,"3,499.00"
2022-12-08,"3,508.00"
2022-12-07,"3,498.00"
2022-12-06,"3,436.00"
2022-12-05,"3,400.00"
2022-12-04,"3,490.00"
2022-12-01,"3,400.00"
2022-11-30,"3,481.00"
2022-11-29,"3,500.00"
2022-11-28,"3,345.00"
2022-11-27,"3,465.00"
2022-11-24,"3,492.00"
2022-11-23,"3,490.00"
2022-11-22,"3,619.00"
2022-11-21,"3,605.00"
2022-11-20,"3,597.00"
2022-11-17,"3,580.00"
2022-11-16,"3,652.00"
2022-11-15,"3,630.00"
2022-11-14,"3,620.00"
2022-11-13,"3,607.00"
2022-11-10,"3,590.00"
2022-11-09,"3,604.00"
2022-11-08,"3,699.00"
2022-11-07,"3,640.00"
2022-11-06,"3,630.00"
2022-11-03,"3,637.00"
2022-11-02,"3,637.00"
2022-10-31,"3,525.00"
2022-10-30,"3,594.00"
2022-10-27,"3,525.00"
2022-10-26,"3,514.00"
2022-10-25,"3,562.00"
2022-10-24,"3,436.00"
2022-10-23,"3,499.00"
2022-10-20,"3,497.00"
2022-10-19,"3,427.00"
2022-10-18,"3,447.00"
2022-10-13,"3,398.00"
2022-10-12,"3,403.00"
2022-10-11,"3,339.00"
2022-10-06,"3,276.00"
2022-10-03,"3,358.00"
2022-10-02,"3,361.00"
2022-09-29,"3,326.00"
2022-09-28,"3,210.00"
2022-09-22,"3,381.00"
2022-09-21,"3,243.00"
2022-09-20,"3,258.00"
2022-09-19,"3,408.00"
2022-09-18,"3,442.00"
2022-09-15,"3,400.00"
2022-09-14,"3,560.00"
2022-09-13,"3,501.00"
2022-09-12,"3,480.00"
2022-09-11,"3,518.00"
2022-09-08,"3,601.00"
2022-09-07,"3,640.00"
2022-09-06,"3,664.00"
2022-09-05,"3,735.00"
2022-09-04,"3,939.00"
2022-09-01,"3,880.00"
2022-08-31,"3,827.00"
2022-08-30,"3,747.00"
2022-08-29,"3,644.00"
2022-08-28,"3,606.00"
2022-08-25,"3,544.00"
2022-08-24,"3,609.00"
2022-08-23,"3,544.00"
2022-08-22,"3,549.00"
2022-08-21,"3,669.00"
2022-08-18,"3,605.00"
2022-08-17,"3,630.00"
2022-08-16,"3,682.00"
2022-08-15,"3,625.00"
2022-08-14,"3,676.00"
2022-08-11,"3,699.00"
2022-08-10,"3,550.00"
2022-08-09,"3,681.00"
2022-08-08,"3,709.00"
2022-08-04,"3,700.00"
2022-08-03,"3,649.00"
2022-08-02,"3,683.00"
2022-08-01,"3,653.00"
2022-07-31,"3,725.00"
2022-07-28,"3,652.00"
2022-07-27,"3,651.00"
2022-07-26,"3,687.00"
2022-07-25,"3,680.00"
2022-07-24,"3,695.00"
2022-07-21,"3,696.00"
2022-07-20,"3,870.00"
2022-07-19,"3,799.00"
2022-07-18,"3,695.00"
2022-07-17,"3,700.00"
2022-07-14,"3,684.00"
2022-07-13,"3,806.00"
2022-07-12,"3,700.00"
2022-07-11,"3,760.00"
2022-07-10,"3,800.00"
2022-07-07,"3,700.00"
2022-07-06,"3,795.00"
2022-07-05,"3,736.00"
2022-07-04,"3,876.00"
2022-07-03,"3,850.00"
2022-06-30,"3,797.00"
2022-06-29,"3,684.00"
2022-06-28,"3,625.00"
2022-06-27,"3,770.00"
2022-06-26,"3,724.00"
2022-06-23,"3,648.00"
2022-06-22,"3,640.00"
2022-06-21,"3,664.00"
2022-06-20,"3,614.00"
2022-06-19,"3,652.00"
2022-06-16,"3,593.00"
2022-06-15,"3,680.00"
2022-06-14,"3,600.00"
2022-06-13,"3,747.00"
2022-06-12,"3,700.00"
2022-06-09,"3,832.00"
2022-06-08,"3,782.00"
2022-06-07,"3,708.00"
2022-06-06,"3,820.00"
2022-06-02,"3,830.00"
2022-06-01,"3,850.00"
2022-05-31,"3,800.00"
2022-05-30,"3,750.00"
2022-05-29,"3,693.00"
2022-05-26,"3,524.00"
2022-05-25,"3,653.00"
2022-05-24,"3,601.00"
2022-05-23,"3,621.00"
2022-05-22,"3,720.00"
2022-05-19,"3,496.00"
2022-05-18,"3,613.00"
2022-05-17,"3,650.00"
2022-05-16,"3,657.00"
2022-05-15,"3,601.00"
2022-05-12,"3,577.00"
2022-05-11,"3,554.00"
2022-05-10,"3,500.00"
2022-05-09,"3,490.00"
2022-05-08,"3,500.00"
2022-05-03,"3,480.00"
2022-05-02,"3,501.00"
2022-05-01,"3,807.00"
2022-04-28,"3,849.00"
2022-04-27,"3,849.00"
2022-04-26,"3,714.00"
2022-04-25,"3,694.00"
2022-04-24,"3,533.00"
2022-04-20,"3,580.00"
2022-04-19,"3,757.00"
2022-04-18,"3,801.00"
2022-04-17,"3,801.00"
2022-04-14,"3,627.00"
2022-04-13,"5,190.00"
2022-04-12,"5,106.00"
2022-04-11,"5,100.00"
2022-04-10,"5,114.00"
2022-04-07,"4,872.00"
2022-04-06,"4,900.00"
2022-04-05,"4,565.00"
2022-04-04,"4,511.00"
2022-04-03,"4,690.00"
2022-03-31,"4,670.00"
2022-03-30,"4,594.00"
2022-03-29,"4,499.00"
2022-03-28,"4,385.00"
2022-03-27,"4,269.00"
2022-03-24,"4,556.00"
2022-03-23,"4,487.00"
2022-03-22,"4,447.00"
2022-03-21,"4,367.00"
2022-03-20,"4,390.00"
2022-03-16,"4,170.00"
2022-03-15,"4,207.00"
2022-03-14,"4,322.00"
2022-03-13,"4,295.00"
2022-03-10,"4,341.00"
2022-03-09,"4,300.00"
2022-03-08,"4,299.00"
2022-03-07,"4,172.00"
2022-03-06,"4,186.00"
2022-03-03,"4,170.00"
2022-03-02,"4,125.00"
2022-03-01,"4,200.00"
2022-02-28,"4,399.00"
2022-02-27,"4,299.00"
2022-02-24,"4,257.00"
2022-02-23,"4,291.00"
2022-02-22,"4,499.00"
2022-02-21,"4,434.00"
2022-02-20,"4,470.00"
2022-02-17,"4,466.00"
2022-02-16,"4,400.00"
2022-02-15,"4,499.00"
2022-02-14,"4,412.00"
2022-02-13,"4,489.00"
2022-02-10,"4,456.00"
2022-02-09,"4,499.00"
2022-02-08,"4,470.00"
2022-02-07,"4,505.00"
2022-02-06,"4,500.00"
2022-02-03,"4,520.00"
2022-02-02,"4,590.00"
2022-02-01,"4,634.00"
2022-01-31,"4,565.00"
2022-01-30,"4,600.00"
2022-01-27,"4,655.00"
2022-01-26,"4,630.00"
2022-01-25,"4,691.00"
2022-01-24,"4,789.00"
2022-01-23,"4,700.00"
2022-01-20,"4,648.00"
2022-01-19,"4,547.00"
2022-01-18,"4,600.00"
2022-01-17,"4,625.00"
2022-01-16,"4,790.00"
2022-01-13,"4,799.00"
2022-01-12,"4,883.00"
2022-01-11,"5,020.00"
2022-01-10,"4,900.00"
2022-01-09,"5,000.00"
2022-01-06,"4,915.00"
2022-01-05,"4,910.00"
2022-01-04,"5,037.00"
2022-01-03,"4,902.00"
2022-01-02,"4,912.00"
2021-12-30,"4,909.00"
2021-12-29,"4,939.00"
2021-12-28,"4,840.00"
2021-12-27,"4,706.00"
2021-12-26,"4,711.00"
2021-12-23,"4,800.00"
2021-12-22,"4,980.00"
2021-12-21,"4,980.00"
2021-12-20,"4,707.00"
2021-12-19,"4,980.00"
2021-12-16,"4,978.00"
2021-12-15,"4,896.00"
2021-12-14,"4,851.00"
2021-12-13,"4,848.00"
2021-12-12,"4,848.00"
2021-12-09,"4,780.00"
2021-12-08,"4,878.00"
2021-12-07,"4,850.00"
2021-12-06,"4,870.00"
2021-12-05,"4,922.00"
2021-12-02,"4,836.00"
2021-12-01,"4,886.00"
2021-11-30,"5,162.00"
2021-11-29,"4,940.00"
2021-11-28,"5,001.00"
2021-11-25,"4,939.00"
2021-11-24,"5,000.00"
2021-11-23,"5,089.00"
2021-11-22,"5,090.00"
2021-11-21,"5,060.00"
2021-11-18,"4,950.00"
2021-11-17,"5,079.00"
2021-11-16,"5,090.00"
2021-11-15,"5,072.00"
2021-11-14,"5,183.00"
2021-11-11,"5,069.00"
2021-11-10,"5,000.00"
2021-11-09,"5,018.00"
2021-11-08,"4,900.00"
2021-11-07,"5,001.00"
2021-11-04,"5,047.00"
2021-11-03,"5,013.00"
2021-11-02,"5,000.00"
2021-11-01,"4,991.00"
2021-10-31,"5,000.00"
2021-10-28,"4,999.00"
2021-10-27,"5,160.00"
2021-10-26,"5,210.00"
2021-10-25,"5,224.00"
2021-10-24,"5,450.00"
2021-10-21,"5,399.00"
2021-10-20,"5,285.00"
2021-10-19,"5,284.00"
2021-10-18,"5,120.00"
2021-10-17,"4,997.00"
2021-10-14,"5,045.00"
2021-10-13,"4,998.00"
2021-10-12,"5,110.00"
2021-10-11,"5,120.00"
2021-10-10,"5,000.00"
2021-10-07,"4,990.00"
2021-10-06,"5,373.00"
2021-10-05,"5,344.00"
2021-10-04,"5,200.00"
2021-10-03,"5,340.00"
2021-09-30,"5,245.00"
2021-09-29,"5,400.00"
2021-09-26,"5,500.00"
2021-09-23,"5,506.00"
2021-09-22,"5,170.00"
2021-09-19,"5,157.00"
2021-09-14,"5,362.00"
2021-09-13,"5,680.00"
2021-09-12,"6,060.00"
2021-09-09,"6,059.00"
2021-09-05,"5,852.00"
2021-09-02,"5,697.00"
2021-09-01,"5,490.00"
2021-08-31,"5,506.00"
2021-08-30,"5,450.00"
2021-08-29,"5,490.00"
2021-08-26,"3,988.00"
2021-08-25,"3,958.00"
2021-08-24,"3,990.00"
2021-08-23,"4,011.00"
2021-08-22,"4,315.00"
2021-08-19,"4,329.00"
2021-08-18,"3,861.00"
2021-08-17,"3,766.00"
2021-08-16,"3,812.00"
2021-08-15,"3,897.00"
2021-08-12,"3,811.00"
2021-08-11,"3,785.00"
2021-08-10,"3,720.00"
2021-08-09,"3,726.00"
2021-08-08,"3,707.00"
2021-08-05,"3,696.00"
2021-08-04,"3,700.00"
2021-08-03,"3,799.00"
2021-08-02,"3,838.00"
2021-08-01,"3,830.00"
2021-07-29,"3,770.00"
2021-07-28,"3,830.00"
2021-07-27,"3,853.00"
2021-07-26,"3,990.00"
2021-07-25,"4,070.00"
2021-07-22,"4,135.00"
2021-07-21,"4,146.00"
2021-07-20,"4,235.00"
2021-07-19,"4,322.00"
2021-07-15,"4,318.00"
2021-07-14,"4,323.00"
2021-07-13,"4,277.00"
2021-07-12,"4,292.00"
2021-07-11,"4,354.00"
2021-07-08,"4,250.00"
2021-07-07,"4,242.00"
2021-07-06,"4,192.00"
2021-07-05,"4,100.00"
2021-07-04,"4,140.00"
2021-07-01,"4,452.00"
2021-06-30,"4,774.00"
2021-06-29,"4,670.00"
2021-06-28,"4,840.00"
2021-06-27,"4,962.00"
2021-06-24,"4,872.00"
2021-06-23,"4,802.00"
2021-06-22,"4,933.00"
2021-06-21,"4,933.00"
2021-06-20,"4,811.00"
2021-06-17,"4,876.00"
2021-06-16,"4,871.00"
2021-06-15,"4,950.00"
2021-06-14,"4,940.00"
2021-06-13,"5,093.00"
2021-06-10,"5,192.00"
2021-06-09,"5,032.00"
2021-06-08,"4,856.00"
2021-06-07,"4,967.00"
2021-06-06,"4,967.00"
2021-06-03,"4,800.00"
2021-06-02,"5,105.00"
2021-06-01,"5,345.00"
2021-05-31,"5,210.00"
2021-05-30,"5,011.00"
2021-05-27,"4,647.00"
2021-05-26,"4,800.00"
2021-05-25,"4,588.00"
2021-05-24,"4,440.00"
2021-05-23,"4,338.00"
2021-05-20,"4,245.00"
2021-05-19,"4,187.00"
2021-05-18,"4,020.00"
2021-05-13,"3,850.00"
2021-05-12,"3,848.00"
2021-05-11,"3,888.00"
2021-05-10,"4,123.00"
2021-05-09,"3,989.00"
2021-05-06,"3,903.00"
2021-05-05,"4,150.00"
2021-05-04,"4,178.00"
2021-05-03,"4,167.00"
2021-05-02,"4,161.00"
2021-04-29,"4,177.00"
2021-04-28,"4,204.00"
2021-04-27,"4,204.00"
2021-04-26,"4,181.00"
2021-04-25,"4,178.00"
2021-04-22,"4,169.00"
2021-04-21,"4,094.00"
2021-04-20,"4,443.00"
2021-04-19,"4,399.00"
2021-04-18,"4,399.00"
2021-04-13,"4,498.00"
2021-04-12,"4,498.00"
2021-04-11,"4,498.00"
2021-04-08,"4,436.00"
2021-04-07,"4,608.00"
2021-04-06,"4,221.00"
2021-04-05,"4,410.00"
2021-04-04,"4,751.00"
2021-04-01,"4,751.00"
2021-03-31,"4,751.00"
2021-03-30,"4,750.00"
2021-03-29,"4,824.00"
2021-03-25,"4,880.00"
2021-03-24,"4,880.00"
2021-03-22,"4,880.00"
2021-03-21,"4,880.00"
2021-03-18,"4,935.00"
2021-03-17,"4,935.00"
2021-03-16,"4,935.00"
2021-03-15,"4,936.00"
2021-03-14,"4,839.00"
2021-03-11,"4,839.00"
2021-03-10,"4,948.00"
2021-03-09,"4,942.00"
2021-03-08,"4,720.00"
2021-03-07,"4,974.00"
2021-03-04,"4,974.00"
2021-03-03,"4,957.00"
2021-03-02,"4,909.00"
2021-03-01,"4,912.00"
2021-02-28,"5,015.00"
2021-02-25,"4,924.00"
2021-02-24,"4,969.00"
2021-02-23,"4,810.00"
2021-02-22,"4,920.00"
2021-02-21,"4,749.00"
2021-02-18,"4,749.00"
2021-02-17,"4,688.00"
2021-02-16,"4,690.00"
2021-02-15,"4,801.00"
2021-02-14,"4,801.00"
2021-02-11,"4,801.00"
2021-02-10,"4,801.00"
2021-02-09,"4,590.00"
2021-02-08,"4,480.00"
2021-02-07,"4,261.00"
2021-02-04,"4,255.00"
2021-02-03,"4,478.00"
2021-02-02,"4,434.00"
2021-02-01,"4,195.00"
2021-01-31,"4,404.00"
2021-01-28,"4,271.00"
2021-01-27,"4,083.00"
2021-01-26,"4,008.00"
2021-01-25,"4,000.00"
2021-01-24,"4,051.00"
2021-01-21,"4,048.00"
2021-01-20,"4,048.00"
2021-01-19,"4,344.00"
2021-01-18,"4,325.00"
2021-01-17,"4,406.00"
2021-01-14,"4,340.00"
2021-01-13,"4,426.00"
2021-01-12,"4,340.00"
2021-01-11,"4,564.00"
2021-01-10,"4,452.00"
2021-01-07,"4,460.00"
2021-01-06,"4,707.00"
2021-01-05,"4,820.00"
2021-01-04,"4,615.00"
2021-01-03,"4,561.00"
2020-12-31,"4,664.00"
2020-12-30,"4,665.00"
2020-12-29,"4,665.00"
2020-12-28,"4,512.00"
2020-12-27,"4,500.00"
2020-12-24,"4,427.00"
2020-12-23,"4,396.00"
2020-12-22,"4,540.00"
2020-12-21,"4,541.00"
2020-12-20,"4,540.00"
2020-12-17,"4,665.00"
2020-12-16,"4,561.00"
2020-12-15,"4,502.00"
2020-12-14,"4,486.00"
2020-12-13,"4,420.00"
2020-12-10,"4,356.00"
2020-12-09,"4,418.00"
2020-12-08,"4,433.00"
2020-12-07,"4,465.00"
2020-12-06,"4,480.00"
2020-12-03,"4,443.00"
2020-12-02,"4,569.00"
2020-12-01,"4,500.00"
2020-11-30,"4,509.00"
2020-11-29,"4,563.00"
2020-11-26,"4,560.00"
2020-11-25,"4,677.00"
2020-11-24,"4,628.00"
2020-11-23,"4,700.00"
2020-11-22,"4,765.00"
2020-11-19,"4,765.00"
2020-11-18,"4,695.00"
2020-11-17,"4,697.00"
2020-11-16,"4,680.00"
2020-11-15,"4,669.00"
2020-11-12,"4,780.00"
2020-11-11,"4,936.00"
2020-11-10,"4,785.00"
2020-11-09,"4,998.00"
2020-11-08,"4,973.00"
2020-11-05,"4,977.00"
2020-11-04,"4,955.00"
2020-11-03,"4,905.00"
2020-11-02,"5,007.00"
2020-11-01,"5,000.00"
2020-10-29,"5,005.00"
2020-10-28,"4,999.00"
2020-10-27,"4,910.00"
2020-10-26,"4,909.00"
2020-10-25,"4,832.00"
2020-10-22,"4,820.00"
2020-10-21,"5,098.00"
2020-10-20,"4,999.00"
2020-10-19,"4,999.00"
2020-10-18,"4,950.00"
2020-10-15,"4,999.00"
2020-10-14,"4,998.00"
2020-10-13,"4,999.00"
2020-10-12,"4,850.00"
2020-10-11,"4,931.00"
2020-10-08,"4,930.00"
2020-10-07,"4,844.00"
2020-10-06,"4,902.00"
2020-10-05,"4,790.00"
2020-10-04,"4,768.00"
2020-10-01,"4,761.00"
2020-09-30,"5,147.00"
2020-09-29,"4,914.00"
2020-09-24,"4,768.00"
2020-09-23,"4,747.00"
2020-09-22,"4,592.00"
2020-09-21,"4,400.00"
2020-09-17,"4,169.00"
2020-09-16,"4,283.00"
2020-09-15,"4,272.00"
2020-09-14,"4,180.00"
2020-09-13,"4,224.00"
2020-09-10,"4,446.00"
2020-09-09,"4,443.00"
2020-09-08,"4,406.00"
2020-09-07,"4,555.00"
2020-09-06,"4,293.00"
2020-09-03,"4,247.00"
2020-09-02,"4,887.00"
2020-09-01,"4,769.00"
2020-08-31,"4,807.00"
2020-08-30,"4,999.00"
2020-08-27,"4,731.00"
2020-08-26,"4,660.00"
2020-08-25,"4,727.00"
2020-08-24,"4,688.00"
2020-08-23,"4,527.00"
2020-08-20,"4,662.00"
2020-08-19,"4,979.00"
2020-08-18,"4,989.00"
2020-08-17,"4,975.00"
2020-08-16,"4,896.00"
2020-08-13,"4,787.00"
2020-08-12,"4,884.00"
2020-08-11,"4,884.00"
2020-08-10,"4,651.00"
2020-08-09,"4,999.00"
2020-08-06,"4,999.00"
2020-08-05,"4,851.00"
2020-08-04,"5,050.00"
2020-08-03,"5,000.00"
2020-08-02,"5,000.00"
2020-07-29,"5,000.00"
2020-07-28,"4,738.00"
2020-07-27,"4,443.00"
2020-07-26,"4,317.00"
2020-07-23,"4,271.00"
2020-07-22,"4,211.00"
2020-07-21,"4,212.00"
2020-07-20,"4,110.00"
2020-07-19,"4,204.00"
2020-07-16,"4,167.00"
2020-07-15,"4,167.00"
2020-07-14,"4,260.00"
2020-07-13,"4,260.00"
2020-07-12,"4,260.00"
2020-07-09,"4,066.00"
2020-07-08,"4,148.00"
2020-07-07,"4,208.00"
2020-07-06,"4,138.00"
2020-07-05,"4,004.00"
2020-07-02,"4,001.00"
2020-07-01,"4,412.00"
2020-06-30,"4,734.00"
2020-06-29,"4,982.00"
2020-06-28,"4,999.00"
2020-06-25,"4,957.00"
2020-06-24,"4,819.00"
2020-06-23,"4,968.00"
2020-06-22,"4,889.00"
2020-06-21,"5,005.00"
2020-06-18,"5,010.00"
2020-06-17,"5,000.00"
2020-06-16,"4,900.00"
2020-06-15,"4,777.00"
2020-06-14,"4,676.00"
2020-06-11,"5,008.00"
2020-06-10,"5,008.00"
2020-06-09,"5,050.00"
2020-06-08,"5,000.00"
2020-06-04,"5,000.00"
2020-06-03,"4,800.00"
2020-06-02,"4,720.00"
2020-06-01,"4,762.00"
2020-05-31,"4,762.00"
2020-05-27,"4,590.00"
2020-05-26,"4,300.00"
2020-05-25,"4,600.00"
2020-05-24,"4,845.00"
2020-05-21,"5,038.00"
2020-05-20,"5,000.00"
2020-05-19,"5,217.00"
2020-05-18,"5,228.00"
2020-05-17,"4,681.00"
2020-05-14,"5,400.00"
2020-05-13,"4,988.00"
2020-05-12,"4,720.00"
2020-05-11,"4,710.00"
2020-05-10,"4,610.00"
2020-05-07,"4,800.00"
2020-05-06,"5,217.00"
2020-05-05,"5,556.00"
2020-05-04,"5,406.00"
2020-05-03,"5,690.00"
2020-04-30,"5,690.00"
2020-04-27,"5,457.00"
2020-04-26,"5,684.00"
2020-04-23,"5,684.00"
2020-04-22,"5,750.00"
2020-04-21,"5,626.00"
2020-04-20,"5,399.00"
2020-04-19,"5,545.00"
2020-04-16,"5,173.00"
2020-04-13,"5,465.00"
2020-04-12,"5,402.00"
2020-04-07,"5,397.00"
2020-04-06,"5,360.00"
2020-04-05,"5,730.00"
2020-04-02,"5,560.00"
2020-04-01,"5,130.00"
2020-03-31,"5,824.00"
2020-03-30,"5,976.00"
2020-03-29,"5,760.00"
2020-03-26,"5,700.00"
2020-03-25,"5,564.00"
2020-03-24,"5,450.00"
2020-03-23,"5,375.00"
2020-03-22,"5,481.00"
2020-03-19,"5,480.00"
2020-03-18,"5,044.00"
2020-03-17,"4,922.00"
2020-03-16,"5,035.00"
2020-03-15,"5,447.00"
2020-03-12,"5,446.00"
2020-03-11,"5,128.00"
2020-03-09,"4,890.00"
2020-03-08,"4,913.00"
2020-03-05,"4,998.00"
2020-03-04,"5,275.00"
2020-03-03,"5,162.00"
2020-03-01,"5,143.00"
2020-02-27,"5,248.00"
2020-02-26,"5,070.00"
2020-02-25,"5,027.00"
2020-02-24,"4,950.00"
2020-02-23,"5,002.00"
2020-02-20,"5,000.00"
2020-02-19,"5,098.00"
2020-02-18,"5,150.00"
2020-02-17,"5,365.00"
2020-02-16,"5,500.00"
2020-02-13,"5,450.00"
2020-02-12,"5,450.00"
2020-02-11,"5,450.00"
2020-02-10,"5,324.00"
2020-02-09,"5,176.00"
2020-02-06,"5,070.00"
2020-02-05,"5,326.00"
2020-02-04,"5,326.00"
2020-02-03,"5,250.00"
2020-02-02,"5,185.00"
2020-01-30,"5,016.00"
2020-01-29,"5,016.00"
2020-01-28,"5,016.00"
2020-01-27,"5,016.00"
2020-01-26,"4,992.00"
2020-01-23,"4,908.00"
2020-01-22,"4,908.00"
2020-01-21,"4,850.00"
2020-01-20,"4,800.00"
2020-01-19,"4,848.00"
2020-01-16,"4,829.00"
2020-01-15,"4,799.00"
2020-01-14,"4,800.00"
2020-01-13,"4,741.00"
2020-01-12,"4,694.00"
2020-01-09,"4,614.00"
2020-01-08,"4,614.00"
2020-01-07,"4,614.00"
2020-01-06,"4,614.00"
2020-01-05,"4,645.00"
2020-01-02,"4,577.00"
2020-01-01,"4,861.00"
2019-12-31,"4,861.00"
2019-12-30,"4,792.00"
2019-12-29,"4,792.00"
2019-12-26,"4,751.00"
2019-12-25,"4,952.00"
2019-12-24,"4,898.00"
2019-12-23,"4,783.00"
2019-12-22,"4,650.00"
2019-12-19,"4,520.00"
2019-12-18,"4,600.00"
2019-12-17,"4,605.00"
2019-12-16,"4,605.00"
2019-12-15,"4,660.00"
2019-12-12,"4,636.00"
2019-12-11,"4,442.00"
2019-12-10,"4,672.00"
2019-12-09,"4,650.00"
2019-12-08,"4,650.00"
2019-12-05,"4,650.00"
2019-12-04,"4,869.00"
2019-12-03,"4,869.00"
2019-12-02,"4,971.00"
2019-12-01,"4,971.00"
2019-11-28,"4,971.00"
2019-11-27,"4,971.00"
2019-11-26,"4,971.00"
2019-11-25,"4,900.00"
2019-11-24,"4,824.00"
2019-11-21,"4,999.00"
2019-11-20,"4,755.00"
2019-11-19,"4,656.00"
2019-11-18,"4,601.00"
2019-11-17,"4,601.00"
2019-11-14,"4,454.00"
2019-11-13,"4,414.00"
2019-11-12,"4,474.00"
2019-11-11,"4,418.00"
2019-11-10,"4,460.00"
2019-11-07,"4,620.00"
2019-11-06,"4,399.00"
2019-11-05,"4,386.00"
2019-11-04,"4,550.00"
2019-11-03,"4,424.00"
2019-10-31,"4,318.00"
2019-10-30,"4,168.00"
2019-10-29,"4,145.00"
2019-10-28,"4,254.00"
2019-10-27,"4,250.00"
2019-10-24,"4,363.00"
2019-10-23,"4,335.00"
2019-10-22,"4,248.00"
2019-10-17,"4,354.00"
2019-10-16,"4,399.00"
2019-10-15,"4,400.00"
2019-10-10,"4,319.00"
2019-10-07,"4,089.00"
2019-10-06,"3,760.00"
2019-10-03,"3,616.00"
2019-10-02,"4,104.00"
2019-09-26,"4,104.00"
2019-09-25,"4,104.00"
2019-09-24,"4,102.00"
2019-09-23,"4,080.00"
2019-09-22,"4,099.00"
2019-09-19,"4,099.00"
2019-09-18,"4,099.00"
2019-09-16,"4,099.00"
2019-09-15,"4,125.00"
2019-09-12,"4,222.00"
2019-09-11,"4,027.00"
2019-09-10,"4,062.00"
2019-09-09,"4,030.00"
